Query ID,Predicted Cardinality
0,207737.62
1,3033.4941
2,166570.34
3,3291675.0
4,145891.25
5,343463.38
6,97.21723
7,1299528.9
8,79047.63
9,3931705.8
10,18.625515
11,9046097.0
12,4410050.0
13,6066942.0
14,243279.72
15,329126.47
16,237734.44
17,481066.5
18,682389.6
19,5891.23
20,20.89001
21,2060979.5
22,72034980.0
23,60.18343
24,196606.0
25,1331651.9
26,62682.97
27,145.31116
28,32646.445
29,55685.637
30,873566.94
31,20859.557
32,48785250.0
33,1355017.9
34,12.751277
35,16195.5
36,7416313.5
37,3641044.5
38,3575415.0
39,484650.88
40,2642611.8
41,362830.62
42,382412.88
43,55102.254
44,709405.9
45,94.355354
46,355494.44
47,20.583471
48,217579.28
49,2708280.2
50,205921.7
51,46737190.0
52,2380466.8
53,67854.37
54,17030280.0
55,66592.5
56,91716.88
57,1693923.4
58,72047.74
59,1151396.4
60,2022631.9
61,258586.06
62,617243.25
63,19443.693
64,889.4898
65,3942.9858
66,282845.03
67,119862.32
68,1499373.6
69,703847.75
70,2739216.2
71,241478.17
72,8980.537
73,785052.5
74,1499353.2
75,53446.676
76,14477887.0
77,31929812.0
78,37553172.0
79,695228.94
80,45138.87
81,2910.1597
82,26707350.0
83,520064.03
84,65945.836
85,606411.1
86,349727.0
87,6047726.0
88,670.5457
89,1481481.4
90,4516226.0
91,978371.5
92,1505448.6
93,99190.555
94,51229.816
95,35453224.0
96,321887.7
97,318.1794
98,16470281.0
99,20.24545
100,255542.77
101,258750.66
102,104530.65
103,133310.06
104,684276.5
105,19.65421
106,16071948.0
107,527718.1
108,7738981.5
109,2015447.2
110,16.112202
111,18.641724
112,551379.6
113,2471639.8
114,164739.0
115,5386348.5
116,20.11859
117,60833.676
118,7153.9937
119,217393.22
120,16.415403
121,2800405.2
122,292040.06
123,603645.75
124,11570341.0
125,482045.4
126,32602224.0
127,427751.97
128,923749.75
129,117961.38
130,109044.26
131,75710.266
132,45942.6
133,803488.4
134,247.27522
135,1256798.5
136,62.87592
137,154758.12
138,2237109.2
139,536218.1
140,3305723.2
141,3866074.5
142,582.12384
143,49449.91
144,308302.56
145,1006479.6
146,1173891.9
147,10156451.0
148,22.8158
149,158912.2
150,3180398.2
151,1849803.8
152,92787970.0
153,153941.75
154,844528.6
155,14208239.0
156,16747380.0
157,2224970.2
158,810167.7
159,162.88312
160,923492.6
161,18848630.0
162,115177.02
163,1694999.8
164,3498670.2
165,3387129.2
166,32760200.0
167,30653562.0
168,313550.06
169,46.86625
170,3859949.0
171,8041751.5
172,55378.227
173,709083.5
174,250282.81
175,736.9793
176,93537.07
177,5212130.5
178,434208.44
179,5332034.5
180,19341000.0
181,860143.25
182,19.848923
183,741965.9
184,18195916.0
185,27618388.0
186,173630.89
187,1997545.6
188,570534.6
189,9863.602
190,66644656.0
191,35684732.0
192,14318116.0
193,20.56488
194,18.29255
195,99773.805
196,62475190.0
197,11593.932
198,19.568426
199,434505.5
200,12.255496
201,1723599.0
202,17316824.0
203,342396.75
204,72165650.0
205,36367896.0
206,21.579731
207,3664.9014
208,1964597.1
209,11508851.0
210,51804.395
211,4152781.8
212,266.85654
213,1289674.5
214,90882.12
215,382.60913
216,160231.64
217,3387041.2
218,928702.0
219,1219355.1
